kind,base,arm,base_role,arm_role,question,baseline_obs,arm_obs,arm_lo,arm_hi,delta,lo,hi,p_better,n_boot,verdict
primary,T0w,S0,T0,S0,does topology add on top of the objective?,0.2006417289741934,0.23820158234461875,0.18944457221942904,0.261614471699676,0.04848173864655487,0.009373980752849693,0.10595107979466384,0.995,400,arm better
secondary,T1,P1,T1,P1,does topology help with no contrast objective?,0.16722217999267264,0.16096842884457763,0.10973732434541048,0.180661398945685,-0.0035718277287309806,-0.012527785141503305,0.011825729432221427,0.34,400,not distinguishable
secondary,T1,S1,T1,S1,"same question, SNN encoder",0.16497353342631205,0.02880464611133049,-0.017028065852317108,0.1468157935543466,-0.1075960321644357,-0.19461481533618918,0.02279228188338054,0.1975,400,not distinguishable
descript,T1,T0w,T1,T0,what the objective buys without topology,0.16497353342631205,0.2006417289741934,0.10533955445596473,0.2334995876121408,0.03027878312155992,-0.0005409774805671117,0.05028409080437401,0.9475,400,not distinguishable
descript,S1,S0,S1,S0,what the objective buys with the SNN,0.02880464611133049,0.23820158234461875,0.18944457221942904,0.261614471699676,0.1863565539325505,0.0708616872913694,0.26275448746284613,1.0,400,arm better
descript,P1,P0,P1,P0,what the objective buys with the PI-CNN,0.16096842884457763,0.2100509529574074,0.12180973805199313,0.2389191293343162,0.041796600896817096,0.0024492393237321723,0.06500515568661519,0.9625,400,arm better
descript,T0w,P0,T0,P0,"topology on top of the objective, PI-CNN",0.2030858360988309,0.2100509529574074,0.12180973805199313,0.2389191293343162,0.008211923758983776,-0.0011170248910804424,0.020767598057477406,0.905,400,not distinguishable
baseline,FCNN,T1,FCNN,T1,same-harness tabular MLP vs the published FCNN,0.00477010436906633,0.16497353342631205,0.10106828784620348,0.1885315736903112,0.1638135384412827,0.09717546930141499,0.2388205864057888,1.0,400,arm better
baseline,FCNN,S0,FCNN,S0,"the published headline, reproduced here",0.00477010436906633,0.23820158234461875,0.18944457221942904,0.261614471699676,0.24257406020939754,0.18103089754718618,0.33296652450341707,1.0,400,arm better
baseline,CAT,T1,CAT,T1,same-harness tabular MLP vs CatBoost,0.14217318808560242,0.16497353342631205,0.10106828784620348,0.1885315736903112,0.007962728237802384,-0.07789545299341408,0.0614749075745104,0.645,400,not distinguishable
interaction,(S1-T1),(S0-T0),,,is topology worth more once the contrast is trained?,,0.1754958969350653,,,0.15748698049692592,0.06649689624102337,0.21763731282079574,1.0,400,arm better
